SRA,BioSample,NCBI_BioSample_ID,collection_date,env_broad_scale,env_local_scale,env_medium,geo_loc_name,host,lat_lon
SRR10810002,SAMN13698786,13698786,2017/9/1,city,lower digestive tract,not applicable,Japan:Tsukuba,Apis mellifera,36.03 N 140.07 E
SRR10810003,SAMN13698785,13698785,2017/9/1,city,lower digestive tract,not applicable,Japan:Tsukuba,Apis mellifera,36.03 N 140.07 E
SRR10810004,SAMN13698784,13698784,2017/9/1,city,lower digestive tract,not applicable,Japan:Tsukuba,Apis mellifera,36.03 N 140.07 E
SRR10810005,SAMN13698783,13698783,2017/9/1,city,lower digestive tract,not applicable,Japan:Tsukuba,Apis mellifera,36.03 N 140.07 E
SRR10810006,SAMN13698782,13698782,2017/9/1,city,lower digestive tract,not applicable,Japan:Tsukuba,Apis mellifera,36.03 N 140.07 E
SRR10810007,SAMN13698781,13698781,2017/9/1,city,lower digestive tract,not applicable,Japan:Tsukuba,Apis mellifera,36.03 N 140.07 E
SRR10810018,SAMN13698780,13698780,2017/9/1,city,lower digestive tract,not applicable,Japan:Tsukuba,Apis mellifera,36.03 N 140.07 E
SRR10810029,SAMN13698779,13698779,2017/9/1,city,lower digestive tract,not applicable,Japan:Tsukuba,Apis mellifera,36.03 N 140.07 E
SRR10810030,SAMN13698796,13698796,2017/9/2,city,lower digestive tract,not applicable,Japan:Hongo,Apis mellifera,35.42 N 139.45 E
SRR10810031,SAMN13698795,13698795,2017/9/2,city,lower digestive tract,not applicable,Japan:Hongo,Apis mellifera,35.42 N 139.45 E
SRR10810032,SAMN13698794,13698794,2017/9/2,city,lower digestive tract,not applicable,Japan:Hongo,Apis mellifera,35.42 N 139.45 E
SRR10810033,SAMN13698793,13698793,2017/9/2,city,lower digestive tract,not applicable,Japan:Hongo,Apis mellifera,35.42 N 139.45 E
SRR10810034,SAMN13698792,13698792,2017/9/2,city,lower digestive tract,not applicable,Japan:Hongo,Apis mellifera,35.42 N 139.45 E
SRR10810035,SAMN13698791,13698791,2017/9/2,city,lower digestive tract,not applicable,Japan:Hongo,Apis mellifera,35.42 N 139.45 E
SRR10810036,SAMN13698790,13698790,2017/9/2,city,lower digestive tract,not applicable,Japan:Hongo,Apis mellifera,35.42 N 139.45 E
SRR10810037,SAMN13698789,13698789,2017/9/2,city,lower digestive tract,not applicable,Japan:Hongo,Apis mellifera,35.42 N 139.45 E
SRR10810038,SAMN13698788,13698788,2017/9/2,city,lower digestive tract,not applicable,Japan:Hongo,Apis mellifera,35.42 N 139.45 E
SRR10810039,SAMN13698787,13698787,2017/9/2,city,lower digestive tract,not applicable,Japan:Hongo,Apis mellifera,35.42 N 139.45 E
SRR10810040,SAMN13698778,13698778,2017/9/1,city,lower digestive tract,not applicable,Japan:Tsukuba,Apis mellifera,36.03 N 140.07 E
SRR10810041,SAMN13698777,13698777,2017/9/1,city,lower digestive tract,not applicable,Japan:Tsukuba,Apis mellifera,36.03 N 140.07 E
SRR10838798,SAMN13742222,13742222,17-Jan,,,,Switzerland: Lausanne,Apis mellifera,46.52 N 6.58 E
SRR12180935,SAMN15488375,15488375,2018,Apis mellifera gut biome,gut,digestive tract,China: Jilin,Apis mellifera,43.31 N 126.48 E
SRR12180936,SAMN15488374,15488374,2018,Apis mellifera gut biome,gut,digestive tract,China: Jilin,Apis mellifera,43.31 N 126.48 E
SRR12180937,SAMN15488373,15488373,2018,Apis mellifera gut biome,gut,digestive tract,China: Jilin,Apis mellifera,43.31 N 126.48 E
SRR12180938,SAMN15488372,15488372,2018,Apis mellifera gut biome,gut,digestive tract,China: Jilin,Apis mellifera,43.31 N 126.48 E
SRR12180939,SAMN15488371,15488371,2018,Apis mellifera gut biome,gut,digestive tract,China: Jilin,Apis mellifera,43.31 N 126.48 E
SRR12180940,SAMN15488370,15488370,2018,Apis mellifera gut biome,gut,digestive tract,China: Jilin,Apis mellifera,43.31 N 126.48 E
SRR12180941,SAMN15488369,15488369,2018,Apis mellifera gut biome,gut,digestive tract,China: Jilin,Apis mellifera,43.31 N 126.48 E
SRR12180942,SAMN15488368,15488368,2018,Apis mellifera gut biome,gut,digestive tract,China: Jilin,Apis mellifera,43.31 N 126.48 E
SRR12180943,SAMN15488367,15488367,2018,Apis mellifera gut biome,gut,digestive tract,China: Jilin,Apis mellifera,43.31 N 126.48 E
SRR12180944,SAMN15488366,15488366,2018,Apis mellifera gut biome,gut,digestive tract,China: Jilin,Apis mellifera,43.31 N 126.48 E
SRR12180945,SAMN15488285,15488285,2018,Apis mellifera gut biome,gut,digestive tract,China: Jilin,Apis mellifera,43.31 N 126.48 E
SRR12180946,SAMN15488365,15488365,2018,Apis mellifera gut biome,gut,digestive tract,China: Jilin,Apis mellifera,43.31 N 126.48 E
SRR12180947,SAMN15488364,15488364,2018,Apis mellifera gut biome,gut,digestive tract,China: Jilin,Apis mellifera,43.31 N 126.48 E
SRR12180948,SAMN15488363,15488363,2018,Apis mellifera gut biome,gut,digestive tract,China: Jilin,Apis mellifera,43.31 N 126.48 E
SRR12180949,SAMN15488362,15488362,2018,Apis mellifera gut biome,gut,digestive tract,China: Jilin,Apis mellifera,43.31 N 126.48 E
SRR12180950,SAMN15488361,15488361,2018,Apis mellifera gut biome,gut,digestive tract,China: Jilin,Apis mellifera,43.31 N 126.48 E
SRR12180951,SAMN15488360,15488360,2018,Apis mellifera gut biome,gut,digestive tract,China: Jilin,Apis mellifera,43.31 N 126.48 E
SRR12180952,SAMN15488359,15488359,2018,Apis mellifera gut biome,gut,digestive tract,China: Jilin,Apis mellifera,43.31 N 126.48 E
SRR12180953,SAMN15488358,15488358,2018,Apis mellifera gut biome,gut,digestive tract,China: Jilin,Apis mellifera,43.31 N 126.48 E
SRR12180954,SAMN15488357,15488357,2018,Apis mellifera gut biome,gut,digestive tract,China: Jilin,Apis mellifera,43.31 N 126.48 E
SRR12180955,SAMN15488356,15488356,2018,Apis mellifera gut biome,gut,digestive tract,China: Jilin,Apis mellifera,43.31 N 126.48 E
SRR12180956,SAMN15488284,15488284,2018,Apis mellifera gut biome,gut,digestive tract,China: Jilin,Apis mellifera,43.31 N 126.48 E
SRR12180957,SAMN15488355,15488355,2018,Apis mellifera gut biome,gut,digestive tract,China: Jilin,Apis mellifera,43.31 N 126.48 E
